"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"4035673158","","","2009-09-16 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Listening to the Yeah Yeah Yeahs. I love their music!","","","",""
"4012185905","","","2009-09-15 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","now following the @chowdermobile","","","",""
"3959830184","","","2009-09-13 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: Datejs - JavaScript Date Library: returns date object from something like &quot;next frida.. http://www.datejs.com/","","","",""
"3942817534","3902919875","11372842","2009-09-12 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@AlanMoote I felt the post needed to be a little more rock&roll... hence the nipple :)","","","",""
"3911428828","","","2009-09-11 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I wish ICANN would raise the registration/renewal price to $50 for .com domains. It would eliminate all of the squatters.","","","",""
"3913608457","","","2009-09-11 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: Causes and effects in American History http://bit.ly/19gm3S","","","",""
"3897511967","","","2009-09-10 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Why vinyl records - I remember back when CDs came out, people tried to show whether they beat vinyl by using... http://tumblr.com/xk3320xr1","","","",""
"3852762695","","","2009-09-09 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","There are 10 types of people, those who understand Binary, those who Don't, and those who understand Ternary numbers","","","",""
"3840538621","","","2009-09-08 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How to save solar power - Their are big dreams among many on using solar power to have a house that is... http://tumblr.com/xk330urgs","","","",""
"3818564788","","","2009-09-07 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: Japan’s 32 Best iPhone Apps (All Available In English) http://bit.ly/tCMpJ","","","",""
"3751432732","","","2009-09-04 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: QuickMBA: Accounting, Business Law, Economics, Entrepreneurship, Finance, Management, Ma.. http://www.quickmba.com/","","","",""
"3763867179","","","2009-09-04 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: Video of Palo Alto Electric Car Show: About 2:30 shows how it all works http://bit.ly/30HH9H","","","",""
"3766417968","","","2009-09-04 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","del.icio.us: New Super Mario Bros.: Nintendo Wii http://bit.ly/eKO7A","","","",""
"3735626393","","","2009-09-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""“My father says almost the whole world’s asleep. Everybody you know, everybody you see, everybody you..."" http://tumblr.com/xk32yhaa8","","","",""
"3737068955","","","2009-09-03 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""/System/Library/Frameworks/JavaScriptCore.framework/Versions/A/Resources/jsc"" - JavaScript shell scripting /... http://tumblr.com/xk32yi6r1","","","",""
"3691858681","","","2009-09-01 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Use bash escape codes for CLI scripts to highlight text http://bit.ly/f3d8I
 delicious:","","","",""
"3661258924","","","2009-08-31 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","(fluxus): A rapid prototyping, livecoding and playing/learning environment for 3D graphics, sound and.. http://bit.ly/2uWdzw
 delicious:","","","",""
"3669725305","","","2009-08-31 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Link: Palo Alto Back Yard Politics this Wednesday http://tumblr.com/xk32x0g2u","","","",""
"3675651377","","","2009-08-31 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","jQTouch — jQuery plugin for mobile web development http://www.jqtouch.com/ delicious:","","","",""
"3624452846","","","2009-08-29 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Editthis.info now accepts character encodings for different languages http://bit.ly/editthis_char","","","",""
"3604312912","","","2009-08-28 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Reduce global warming with white roads - Much of the earth is covered with black top roads which when hit by... http://tumblr.com/xk32vjo51","","","",""
"3604433540","","","2009-08-28 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Reduce carbon in the atmosphere - chop down a tree - As a tree grows it captures carbon. Most of a tree is... http://tumblr.com/xk32vjran","","","",""
"3604704478","","","2009-08-28 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The rise of the plants - So as we point out telescopes out in the cosmos, looking for life, we use the earth... http://tumblr.com/xk32vjzox","","","",""
"3589981734","","","2009-08-27 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The end of Rock Band : http://is.gd/2CJm4","","","",""
"3540305330","","","2009-08-25 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Hack Your Wii for Homebrew http://bit.ly/2B4QP
 delicious:","","","",""
"3535779678","","","2009-08-25 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Map / Reduce in PHP & Scheme (functional/higher order) http://bit.ly/xrc05
 delicious:","","","",""
"3484403211","","","2009-08-23 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Happy Donuts in Wiki Map Site http://bit.ly/i2M3h
 delicious:","","","",""
"3486334104","","","2009-08-23 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Ownsuall54 has been banned: 
 You're not a multi on IK? Lol, okay. Well that saved me about 7 .. http://bit.ly/2cTkde
 @constantsail","","","",""
"3494338412","","","2009-08-23 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Mediawiki extension to create a book from wiki category http://bit.ly/1nwSoS
 delicious:","","","",""
"3474381762","","","2009-08-22 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Ownsuall54 has been banned: 
 Oh dear... He was my buddy for a bit, didn't realize this. It wo.. http://bit.ly/HunUi
 @constantsail","","","",""
"3476574108","","","2009-08-22 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Ownsuall54 has been banned: 
 Oh thank god, I thought they said i was a multi in IK, had a hea.. http://bit.ly/PEk2w
 @constantsail","","","",""
"3443631209","","","2009-08-21 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Ownsuall54 has been banned: 
 I knew it! http://bit.ly/Pjclj
 @constantsail","","","",""
"3459048332","","","2009-08-21 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fluxions (Newton's orignial claculus) from archive.org http://is.gd/2sqqq","","","",""
"3460001300","","","2009-08-21 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Link: Ocean Speedway - I am going to see a demolition derby tonight down in San Jose (I have never been to... http://tumblr.com/xk32sat6k","","","",""
"3460054226","","","2009-08-21 00:00:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","A new way to round - rand_round http://bit.ly/j0C8N","","","",""
"3428102564","","","2009-08-20 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Re: Password recovery: 
 [link] http://bit.ly/iSWR8
 @constantsail","","","",""
"3430534087","","","2009-08-20 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Ownsuall54 has been banned: 
 Ownsuall54 has had 18 accounts on the game, most of which were in th.. http://bit.ly/8tdyV
 @constantsail","","","",""
"3406585687","","","2009-08-19 00:00:00 +0000","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Sunken Gardens Golf Course (short 9-hole) http://bit.ly/wUhE9
 delicious:","","","",""
